Title,Author,length
Behind the Lights,"By: Helen Smallbone, Lisa Stilwell, Rebecca St. James - foreword, David Smallbone",Length: 5 hrs and 28 mins
Scheme,By: Jeffery Deaver,Length: 1 hr and 56 mins
Strawberried Alive,By: Jenn McKinlay,Length: 6 hrs and 36 mins
The Time Traveler's Guide to Regency Britain,By: Ian Mortimer,Length: 17 hrs and 33 mins
One Foot in the Fade,By: Luke Arnold,Length: 12 hrs and 34 mins
Against All Odds,By: Jeffery H. Haskell,Length: 13 hrs and 7 mins
Name from a Hat Trick,By: L.A. Witt,Length: 11 hrs and 31 mins
A World Undone,By: G. J. Meyer,Length: 27 hrs and 58 mins
The Joy Choice,By: Michelle Segar PhD,Length: 6 hrs and 13 mins
Adam Cam's Savage Wisdom,By: Adam Cam,Length: 1 hr and 49 mins
Domestic Decay 5,By: Anya Merchant,Length: 8 hrs and 28 mins
Why We Sleep,By: Matthew Walker,Length: 13 hrs and 52 mins
The Paris Apartment,By: Lucy Foley,Length: 12 hrs and 25 mins
Prime War,By: Vowron Prime,Length: 16 hrs and 58 mins
Torn Apart,By: Dorothy Roberts,Length: 11 hrs and 49 mins
How to Heal Our Racial Divide,By: Derwin L. Gray,Length: 6 hrs and 52 mins
Out of the Corner,By: Jennifer Grey,Length: 11 hrs and 19 mins
The Power of Crisis,By: Ian Bremmer,Length: 7 hrs and 44 mins
Decoding Madness,By: Richard Lettieri,Length: 11 hrs and 27 mins
Seducing the Sorcerer,By: Lee Welch,Length: 12 hrs and 51 mins
Feathers Floating Through Ember,By: Trinity Dunn,Length: 20 hrs and 34 mins
Blessed,By: Nancy Guthrie,Length: 9 hrs and 23 mins
The Broken Room,By: Peter Clines,Length: 10 hrs and 50 mins
A Cursed Kiss,By: Jenny Hickman,Length: 14 hrs
The Truth and Beauty,By: Andrew Klavan,Length: 6 hrs and 29 mins
Say It Like You Mane It,By: Erin Nicholas,Length: 11 hrs and 33 mins
The Club,By: Ellery Lloyd,Length: 9 hrs and 22 mins
Space Academy Dropouts,"By: C.T. Phipps, Michael Suttkus",Length: 8 hrs and 19 mins
Commune 5,"By: Joshua Gayou, Devon C. Ford",Length: 20 hrs and 43 mins
The Breathing Cure,By: Patrick McKeown,Length: 16 hrs and 29 mins
The Wealth of Connection,By: Vincent Pugliese,Length: 6 hrs and 32 mins
The Wisdom Wheel,By: Alberto Villoldo,Length: 7 hrs and 14 mins
The Bladed Faith,By: David Dalglish,Length: 18 hrs and 47 mins
Take My Hand,By: Dolen Perkins-Valdez,Length: 10 hrs and 57 mins
One Italian Summer,By: Rebecca Serle,Length: 6 hrs and 21 mins
$100M Offers,By: Alex Hormozi,Length: 3 hrs and 48 mins
Black Cake,By: Charmaine Wilkerson,Length: 12 hrs and 2 mins
"You, Happier",By: Daniel Amen,Length: 10 hrs and 23 mins
The City of Ember,By: Jeanne DuPrau,Length: 6 hrs and 50 mins
American Prometheus,"By: Kai Bird, Martin J. Sherwin",Length: 26 hrs and 30 mins
Long Way Down,By: Jason Reynolds,Length: 1 hr and 43 mins
Kristin Lavransdatter,"By: Sigrid Undset, Tiina Nunnally - translator",Length: 45 hrs
A Long Walk to Water,By: Linda Sue Park,Length: 2 hrs and 41 mins
Who,"By: Geoff Smart, Randy Street",Length: 4 hrs and 47 mins
The Thief,By: Megan Whalen Turner,Length: 7 hrs and 41 mins
Island of the Blue Dolphins,By: Scott O'Dell,Length: 3 hrs and 55 mins
The Sixth Extinction,By: Elizabeth Kolbert,Length: 9 hrs and 59 mins
The Curious Incident of the Dog in the Night-Time,By: Mark Haddon,Length: 6 hrs and 2 mins
Reap3r,By: Eliot Peper,Length: 7 hrs and 39 mins
The Ultimate Coach,"By: Amy Hardison, Alan D. Thompson",Length: 11 hrs and 54 mins
The Butterfly Garden,By: Dot Hutchison,Length: 9 hrs and 13 mins
The Watsons Go to Birmingham: 1963,By: Christopher Paul Curtis,Length: 4 hrs and 55 mins
Consciousness and the Brain,By: Stanislas Dehaene,Length: 11 hrs and 17 mins
Universe in Flames Megabox- Ultimate 7-Book Box Set,By: Christian Kallias,Length: 64 hrs and 56 mins
The Convenience Series: Books 1-3,By: Stella Gray,Length: 20 hrs and 3 mins
The Girl Before Me,By: Laura Wolfe,Length: 9 hrs and 29 mins
Winterset Hollow,By: Jonathan Edward Durham,Length: 9 hrs and 1 min
22 Seconds,"By: James Patterson, Maxine Paetro",Length: 8 hrs and 16 mins
Nona the Ninth,By: Tamsyn Muir,Length: 11 hrs and 15 mins
Doctor Scandalous,"By: J. Saman, Julie Saman",Length: 10 hrs and 58 mins
Refuse to Be Done,By: Matt Bell,Length: 3 hrs and 44 mins
Reality+,By: David J. Chalmers,Length: 17 hrs and 12 mins
Fiery (but Mostly Peaceful),By: Julio Rosas,Length: 5 hrs and 27 mins
Dark Angel,"By: Brian Andrews, Jeffrey Wilson",Length: 11 hrs and 10 mins
Bittersweet,By: Susan Cain,Length: 7 hrs and 35 mins
The Trapped Ones,By: Stacy Green,Length: 8 hrs and 19 mins
Phil,By: Alan Shipnuck,Length: 8 hrs and 33 mins
Sweet Mercy,By: K. A. Tucker,Length: 7 hrs and 45 mins
No Red Lights,By: Alan J. Patricof,Length: 8 hrs and 32 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
The Ramona Quimby Audio Collection,"By: Beverly Cleary, Tracy Dockray",Length: 18 hrs and 56 mins
The Secret,By: Rhonda Byrne,Length: 4 hrs and 24 mins
All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
Adult Children of Emotionally Immature Parents,By: Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
Raising Men,"By: Eric Davis, Dina Santorelli - contributor",Length: 6 hrs and 41 mins
Legends and Lattes,By: Travis Baldree,Length: 6 hrs and 21 mins
All Rhodes Lead Here,By: Mariana Zapata,Length: 16 hrs and 29 mins
Nautical Noobs,By: Ryan Rimmel,Length: 16 hrs and 57 mins
The Sellout,By: Paul Beatty,Length: 9 hrs and 35 mins
This Is How It Always Is,By: Laurie Frankel,Length: 11 hrs
The Road Less Traveled,By: M. Scott Peck M.D.,Length: 4 hrs and 23 mins
Made to Stick,"By: Chip Heath, Dan Heath",Length: 8 hrs and 37 mins
Stuff Matters,By: Mark Miodownik,Length: 6 hrs and 34 mins
Why Does He Do That?,By: Lundy Bancroft,Length: 13 hrs and 32 mins
A Child Called 'It',By: David Pelzer,Length: 3 hrs and 46 mins
The Obstacle Is the Way,By: Ryan Holiday,Length: 6 hrs and 7 mins
The Intelligent Investor Rev Ed.,By: Benjamin Graham,Length: 17 hrs and 48 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Shoe Dog,By: Phil Knight,Length: 13 hrs and 21 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
The Adoption,By: Jenna Kernan,Length: 12 hrs and 16 mins
Heroic Hearts,"By: Jim Butcher, Kerrie Hughes",Length: 11 hrs and 50 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
Rattle Some Cages,By: Lani Lynn Vale,Length: 6 hrs and 36 mins
The Joy of Reading,"By: Donalyn Miller, Teri Lesesne",Length: 7 hrs and 58 mins
Undisputed Truth,"By: Mike Tyson, Larry Sloman",Length: 20 hrs and 46 mins
Full Catastrophe Living,By: Jon Kabat-Zinn,Length: 5 hrs and 59 mins
Grain Brain,"By: David Perlmutter, Kristin Loberg",Length: 9 hrs and 18 mins
A Crack in Creation,"By: Jennifer A. Doudna, Samuel H. Sternberg",Length: 9 hrs and 22 mins
Rhapsodic,By: Laura Thalassa,Length: 9 hrs and 46 mins
Paladin's Light,"By: Marc Alan Edelheit, Quincy J. Allen",Length: 11 hrs and 20 mins
Gangsters vs. Nazis,By: Michael Benson,Length: 8 hrs and 53 mins
How Rome Fell,By: Adrian Goldsworthy,Length: 18 hrs and 27 mins
Blaine for the Win,By: Robbie Couch,Length: 9 hrs and 6 mins
The Other Einstein,By: Marie Benedict,Length: 8 hrs and 30 mins
El miedo nos hizo fuertes [Fear Made Us Strong],By: Alexis Valdés,Length: 5 hrs and 5 mins
Persians,By: Lloyd Llewellyn-Jones,Length: 18 hrs and 42 mins
Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
The Wife Between Us,"By: Greer Hendricks, Sarah Pekkanen",Length: 11 hrs and 30 mins
Why Has Nobody Told Me This Before?,By: Julie Smith,Length: 7 hrs and 16 mins
The Candy House,By: Jennifer Egan,Length: 11 hrs and 11 mins
Insomnia,By: Sarah Pinborough,Length: 10 hrs and 9 mins
Shatter Me,By: Tahereh Mafi,Length: 9 hrs and 12 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
How to Be a 3% Man,By: Corey Wayne,Length: 7 hrs and 33 mins
Divergent,By: Veronica Roth,Length: 11 hrs and 11 mins
Rocket Fuel,"By: Gino Wickman, Mark C. Winters",Length: 4 hrs and 26 mins
Turtles All the Way Down,By: John Green,Length: 7 hrs and 12 mins
The Advantage,By: Patrick Lencioni,Length: 5 hrs and 25 mins
Sacred Spaces,By: Susan D. Fay PhD,Length: 5 hrs and 27 mins
The Afterlife,By: Fr. Dolindo Ruotolo,Length: 8 hrs and 39 mins
Diablo Mesa,"By: Douglas Preston, Lincoln Child",Length: 11 hrs and 55 mins
The Groves,By: J.V. Lyon,Length: 7 hrs and 21 mins
Strange New World,"By: Carl R. Trueman, Ryan T. Anderson - foreword",Length: 5 hrs and 14 mins
In Peace Lies Havoc,By: Amo Jones,Length: 10 hrs and 38 mins
The Hitman's Guide to Righting Wrongs While Causing Mayhem,By: Alice Winters,Length: 9 hrs and 43 mins
Eragon,By: Christopher Paolini,Length: 16 hrs and 22 mins
Silent Invasion,By: Deborah Birx,Length: 22 hrs and 3 mins
One True Loves,By: Taylor Jenkins Reid,Length: 8 hrs and 5 mins
Empire of the Summer Moon,By: S. C. Gwynne,Length: 15 hrs and 9 mins
Three Dumb: Wheelin' & Dealin',By: Margaret Lashley,Length: 6 hrs and 39 mins
Glint,By: Raven Kennedy,Length: 11 hrs and 48 mins
Prince Lander and the Dragon War,By: S. D. Smith,Length: 5 hrs and 50 mins
Sanando la herida materna [Healing the Maternal Wound],By: Aura Medina de Wit,Length: 10 hrs and 35 mins
A Sunlit Weapon,By: Jacqueline Winspear,Length: 11 hrs and 11 mins
Still Just a Geek,By: Wil Wheaton,Length: 23 hrs and 51 mins
Covens of Blood,"By: Anna Stephens, Liane Merciel, Jamie Crisalli",Length: 12 hrs and 13 mins
Glucose Revolution,By: Jessie Inchauspe,Length: 6 hrs and 3 mins
How the World Really Works,By: Vaclav Smil,Length: 10 hrs and 7 mins
Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins
Trust,By: Hernan Diaz,Length: 10 hrs and 21 mins
Every Summer After,By: Carley Fortune,Length: 9 hrs and 38 mins
Pitch Anything,By: Oren Klaff,Length: 6 hrs and 14 mins
Reclaiming the Feminine,By: Kimberly Ann Johnson,Length: 6 hrs and 7 mins
Charles Dowding’s No Dig Gardening: Course 1,By: Charles Dowding,Length: 10 hrs and 34 mins
Ruthless Rival,By: L.J. Shen,Length: 10 hrs and 23 mins
All the Lovers in the Night,By: Mieko Kawakami,Length: 7 hrs and 44 mins
The Leopard,"By: Giuseppe di Lampedusa, Archibald Colquhuon - translator",Length: 9 hrs and 36 mins
Body Work,By: Melissa Febos,Length: 3 hrs and 35 mins
Foster the Family,By: Jamie C. Finn,Length: 7 hrs and 18 mins
Last Resort,By: K. Bromberg,Length: 7 hrs and 26 mins
American Royals III: Rivals,By: Katharine McGee,Length: 12 hrs and 32 mins
Tokens and Towers,By: Harmon Cooper,Length: 14 hrs and 30 mins
Fading Shadows,By: Kathleen Brooks,Length: 6 hrs and 54 mins
Unprotected,By: Billy Porter,Length: 12 hrs and 22 mins
Monster Girl Trucker,By: Simon Archer,Length: 7 hrs and 48 mins
25 Lies,By: Vince Everett Ellison,Length: 8 hrs and 19 mins
Starry-Eyed Love,By: Helena Hunting,Length: 8 hrs and 52 mins
Answer to Job,"By: C. G. Jung, R. F. C. Hull - translator",Length: 5 hrs and 9 mins
Dreamland,By: Sam Quinones,Length: 14 hrs and 15 mins
A Brief History of Equality,By: Thomas Piketty,Length: 8 hrs and 43 mins
Incarnate,By: Justin Schuelke,Length: 11 hrs and 57 mins
Surrender,By: Bono,Length: 12 hrs
Why Nations Fail,"By: Daron Acemoglu, James A. Robinson",Length: 17 hrs and 55 mins
Tutoring the Player,By: Rebecca Jenshak,Length: 8 hrs and 30 mins
Putting On Christ: A Road Map for Our Heroic Journey to Spiritual Rebirth and Beyond,By: Steven Anthony Bishop,Length: 24 hrs and 26 mins
The Ravaged,By: Norman Reedus,Length: 8 hrs and 49 mins
A Land So Strange,By: Andres Resendez,Length: 7 hrs and 13 mins
The One and Only Ivan,"By: Katherine Applegate, Patricia Castelao",Length: 3 hrs and 46 mins
How to Raise an Adult,By: Julie Lythcott-Haims,Length: 12 hrs and 31 mins
Open Deeply,By: Kate Loree,Length: 12 hrs and 50 mins
The Golem and the Jinni,By: Helene Wecker,Length: 19 hrs and 42 mins
Amp It Up,By: Frank Slootman,Length: 5 hrs and 35 mins
Anvil Dark,"By: J.N. Chaney, Terry Maggert",Length: 9 hrs and 39 mins
M Is for Mama,By: Abbie Halberstadt,Length: 5 hrs and 7 mins
Nature Wants Us to Be Fat,By: Richard J. Johnson MD,Length: 9 hrs and 24 mins
Bhagavad Gita as It Is,By: A. C. Bhaktivedanta Swami Prabhupäda,Length: 24 hrs and 44 mins
A Clockwork Orange,By: Anthony Burgess,Length: 7 hrs and 44 mins
The Day the World Came to Town,By: Jim DeFede,Length: 6 hrs and 28 mins
The Origins of Totalitarianism,By: Hannah Arendt,Length: 23 hrs and 23 mins
Solve for Happy,By: Mo Gawdat,Length: 11 hrs and 12 mins
The Art of Racing in the Rain,By: Garth Stein,Length: 6 hrs and 56 mins
The Poisonwood Bible,By: Barbara Kingsolver,Length: 15 hrs and 34 mins
American Kingpin,By: Nick Bilton,Length: 12 hrs and 14 mins
Pussy,By: Regena Thomashauer,Length: 9 hrs and 32 mins
Confessions of a Video Vixen,By: Karrine Steffans,Length: 5 hrs and 42 mins
"Don't Sweat the Small Stuff, and It's All Small Stuff",By: Richard Carlson,Length: 4 hrs
The Shack,By: William P. Young,Length: 9 hrs and 15 mins
Yoga of Recovery,"By: Durga Leela, David Frawley - foreword",Length: 9 hrs and 8 mins
Kagen the Damned,By: Jonathan Maberry,Length: 20 hrs and 53 mins
A Thousand Splendid Suns,By: Khaled Hosseini,Length: 11 hrs and 43 mins
1491,By: Charles C. Mann,Length: 16 hrs and 17 mins
Coming Home to Myself,"By: Wynonna Judd, Patsi Bale Cox",Length: 9 hrs and 40 mins
Contagious,By: Jonah Berger,Length: 6 hrs and 50 mins
Scaling Up,By: Verne Harnish,Length: 8 hrs and 49 mins
The Power Broker,By: Robert A. Caro,Length: 66 hrs and 9 mins
With the Old Breed,By: E. B. Sledge,Length: 13 hrs and 58 mins
Starship Troopers,By: Robert A. Heinlein,Length: 9 hrs and 52 mins
Stiff,By: Mary Roach,Length: 8 hrs
Overthinking About You,By: Allison Raskin,Length: 5 hrs and 55 mins
The Sale,"By: Jon Gordon, Alex Demczak",Length: 2 hrs and 9 mins
Lucky Turtle,By: Bill Roorbach,Length: 14 hrs and 29 mins
Flow,By: Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
The Big Picture,By: Sean Carroll,Length: 17 hrs and 22 mins
Lean In,By: Sheryl Sandberg,Length: 6 hrs and 27 mins
Team of Teams,"By: Gen. Stanley McChrystal, Tantum Collins, David Silverman, Chris Fussell",Length: 12 hrs and 6 mins
Operation Mincemeat,By: Ben Macintyre,Length: 11 hrs and 18 mins
Predictably Irrational,By: Dan Ariely,Length: 7 hrs and 22 mins
The Keeper of Lost Things,By: Ruth Hogan,Length: 8 hrs and 34 mins
A Tree Grows in Brooklyn,By: Betty Smith,Length: 14 hrs and 55 mins
Feeling Good,By: David D. Burns MD,Length: 13 hrs and 20 mins
So Good They Can't Ignore You,By: Cal Newport,Length: 6 hrs and 28 mins
In Order to Live,By: Yeonmi Park,Length: 9 hrs and 37 mins
How We Love,"By: Milan Yerkovich, Kay Yerkovich",Length: 10 hrs and 56 mins
A Confederacy of Dunces,By: John Kennedy Toole,Length: 13 hrs and 32 mins
Chained Hands,By: T.L. Smith,Length: 5 hrs and 53 mins
Meant to Be,By: Emily Giffin,Length: 11 hrs and 31 mins
The Everything Store,By: Brad Stone,Length: 13 hrs
The Red Tent,By: Anita Diamant,Length: 11 hrs and 50 mins
Kings of the Wyld,By: Nicholas Eames,Length: 17 hrs and 49 mins
Necessary Endings,By: Henry Cloud,Length: 7 hrs and 15 mins
Why Zebras Don't Get Ulcers,By: Robert Sapolsky,Length: 17 hrs and 16 mins
Annihilation,By: Jeff VanderMeer,Length: 6 hrs
Declutter Your Mind,"By: S.J. Scott, Barrie Davenport",Length: 3 hrs and 16 mins
Delivering Happiness,By: Tony Hsieh,Length: 8 hrs and 17 mins
Restart,By: Gordon Korman,Length: 6 hrs and 51 mins
Out of My Mind,By: Sharon M. Draper,Length: 6 hrs and 49 mins
I'm Thinking of Ending Things,By: Iain Reid,Length: 5 hrs and 22 mins
If We Were Villains,By: M. L. Rio,Length: 12 hrs and 50 mins
Superforecasting,"By: Philip Tetlock, Dan Gardner",Length: 9 hrs and 45 mins
Just Kids,By: Patti Smith,Length: 9 hrs and 50 mins
Legend,By: Marie Lu,Length: 7 hrs and 48 mins
The Secrets You Keep,By: Kate White,Length: 10 hrs and 18 mins
The Shadow of the Wind,By: Carlos Ruiz Zafón,Length: 18 hrs and 5 mins
The Happiness Project,By: Gretchen Rubin,Length: 10 hrs and 15 mins
No Easy Day,"By: Mark Owen, Kevin Maurer",Length: 6 hrs and 50 mins
Let My People Go Surfing,"By: Yvon Chouinard, Naomi Klein",Length: 7 hrs and 59 mins
The Smartest Guys in the Room,By: Bethany McLean,Length: 22 hrs and 30 mins
The Bear and the Nightingale,By: Katherine Arden,Length: 11 hrs and 48 mins
Angela's Ashes,"By: Frank McCourt, Jeannette Walls - introduction",Length: 15 hrs and 8 mins
The Four Tendencies,By: Gretchen Rubin,Length: 6 hrs and 37 mins
Why Are All the Black Kids Sitting Together in the Cafeteria?,By: Beverly Daniel Tatum,Length: 13 hrs and 27 mins
Crossing the Chasm,By: Geoffrey A. Moore,Length: 9 hrs and 45 mins
Be Joyful,By: Joyce Meyer,Length: 4 hrs and 25 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
Leading Change,By: John P. Kotter,Length: 6 hrs and 34 mins
The Emotionally Healthy Leader,By: Peter Scazzero,Length: 10 hrs and 54 mins
Presence,By: Amy Cuddy,Length: 9 hrs and 18 mins
Forrest Gump,By: Winston Groom,Length: 9 hrs and 9 mins
Black Hawk Down,By: Mark Bowden,Length: 15 hrs and 14 mins
Teaching from Rest,By: Sarah Mackenzie,Length: 2 hrs and 39 mins
Maiden to Mother,By: Sarah Durham Wilson,Length: 5 hrs and 54 mins
The Swamp Fox,By: John Oller,Length: 8 hrs and 47 mins
The Couple Next Door,By: Shari Lapena,Length: 8 hrs and 40 mins
The Girl with All the Gifts,By: M. R. Carey,Length: 13 hrs and 4 mins
Single & Secure,By: Rich Wilkerson Jr.,Length: 7 hrs and 39 mins
"Guns, Germs and Steel",By: Jared Diamond,Length: 16 hrs and 20 mins
Deep Work,By: Cal Newport,Length: 7 hrs and 44 mins
Beloved,By: Toni Morrison,Length: 12 hrs and 3 mins
Quiet,By: Susan Cain,Length: 10 hrs and 39 mins
The ONE Thing,"By: Gary Keller, Jay Papasan",Length: 5 hrs and 28 mins
"The First 90 Days, Updated and Expanded",By: Michael Watkins,Length: 6 hrs and 58 mins
They Both Die at the End,By: Adam Silvera,Length: 8 hrs and 30 mins
The Big Leap,By: Gay Hendricks,Length: 5 hrs and 27 mins
The Boys in the Boat,By: Daniel James Brown,Length: 14 hrs and 24 mins
The Giver,By: Lois Lowry,Length: 4 hrs and 49 mins
The First Fifteen Lives of Harry August,By: Claire North,Length: 12 hrs and 10 mins
Year of Yes,By: Shonda Rhimes,Length: 7 hrs and 4 mins
Nonviolent Communication,By: Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Station Eleven (Television Tie-in),By: Emily St. John Mandel,Length: 10 hrs and 40 mins
The Things They Carried,By: Tim O'Brien,Length: 7 hrs and 47 mins
Bossypants,By: Tina Fey,Length: 5 hrs and 32 mins
A Little Life,By: Hanya Yanagihara,Length: 32 hrs and 51 mins
Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
The Hard Thing About Hard Things,By: Ben Horowitz,Length: 7 hrs and 57 mins
Gone Girl,By: Gillian Flynn,Length: 19 hrs and 11 mins
The Bell Jar,By: Sylvia Plath,Length: 7 hrs and 24 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,By: MJ DeMarco,Length: 12 hrs and 46 mins
Scythe,By: Neal Shusterman,Length: 10 hrs and 32 mins
Being Mortal,By: Atul Gawande,Length: 9 hrs and 3 mins
When Breath Becomes Air,"By: Paul Kalanithi, Abraham Verghese - foreword",Length: 5 hrs and 35 mins
The Kite Runner,By: Khaled Hosseini,Length: 12 hrs and 1 min
Based on a True Story,By: Norm Macdonald,Length: 7 hrs and 18 mins
Freakonomics,"By: Steven D. Levitt, Stephen J. Dubner",Length: 7 hrs and 51 mins
Of Mice and Men,By: John Steinbeck,Length: 3 hrs and 11 mins
The Creature from Jekyll Island,By: G. Edward Griffin,Length: 24 hrs and 21 mins
A Wrinkle in Time,By: Madeleine L'Engle,Length: 6 hrs and 27 mins
Howl's Moving Castle,By: Diana Wynne Jones,Length: 8 hrs and 34 mins
The Phoenix Project,"By: Gene Kim, Kevin Behr, George Spafford",Length: 14 hrs and 46 mins
"Eat, Pray, Love",By: Elizabeth Gilbert,Length: 12 hrs and 49 mins
Journey of Souls,By: Michael Newton,Length: 11 hrs and 18 mins
Catch-22,By: Joseph Heller,Length: 19 hrs and 58 mins
The Gene,By: Siddhartha Mukherjee,Length: 19 hrs and 22 mins
The Life-Changing Magic of Tidying Up,By: Marie Kondo,Length: 4 hrs and 50 mins
Autobiography of a Yogi,By: Paramahansa Yogananda,Length: 17 hrs and 50 mins
