organitation,direction,zone,number,website
Kindred Hospital Dallas Central,8050 Meadow Rd,"Dallas, TX 75231",(469) 232-6500,http://www.khdallascentral.com
Texas Scottish Rite Hospital For Children,2222 Welborn St,"Dallas, TX 75219",(214) 559-5000,http://scottishritehospital.org
Parkland Health & Hospital System,5200 Harry Hines Blvd,"Dallas, TX 75235",(214) 590-8000,http://www.parklandhospital.com/phhs/home.aspx
Walnut Hill Medical Center,7502 Greenville Ave,"Dallas, TX 75231",(972) 863-6000,/dallas-tx/mip/parkland-health-hospital-system-497262243#open-menu
Baylor University Medical Center Vascular Lab,3500 Gaston Ave,"Dallas, TX 75246",(214) 820-0150,http://www.walnuthillobgyn.com
Timberlawn Mental Health Syst,4600 Samuell Blvd,"Dallas, TX 75228",(214) 381-7181,http://www.baylorhealth.com
Kindred Hospital Dallas,9525 Greenville Ave,"Dallas, TX 75243",(214) 355-2600,http://www.timberlawn.com
Dallas Medical Center,7 Medical Pkwy,"Dallas, TX 75234",(972) 888-7000,http://www.khdallas.com
Kindred Hospital White Rock,9440 Poppy Dr,"Dallas, TX 75218",(214) 324-6562,/dallas-tx/mip/kindred-hospital-dallas-30015340#open-menu
Pine Creek Medical Center,9032 Harry Hines Blvd,"Dallas, TX 75235",(214) 231-2273,http://www.dallasmedcenter.com
Methodist Dallas Medical Center,1441 N Beckley Ave,"Dallas, TX 75203",(214) 947-8181,http://www.khwhiterock.com
Baylor Center for Pain Management at Dallas,3600 Gaston Ave Wadley Tower  Ste 360,"Dallas, TX 75246",(214) 820-7246,http://www.pinecreekmedicalcenter.com
Vibra Healthcare,1950 Record Crossing Rd,"Dallas, TX 75235",(214) 638-1500,http://methodisthealthsystem.org
Baylor University Medical Center,3600 Gaston Ave,"Dallas, TX 75246",(214) 820-0111,https://www.bswhealth.com/locations/dallas/specialties/pain-management?y_source=1_MTQ2NjI3OTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Green Oaks Hospital,7808 Clodus Fields Dr,"Dallas, TX 75251",(972) 991-9504,http://vibrahealthcare.com
PrimaCare Medical Center,11888 Marsh Ln Ste 104,"Dallas, TX 75234",(972) 488-9222,http://www.baylorhealth.edu/Pages/default.aspx
Baylor Medical Center At Uptown,2727 E Lemmon Ave,"Dallas, TX 75204",(214) 443-3000,http://greenoakspsych.com
William P Clements Jr University Hospital,6201 Harry Hines Blvd,"Dallas, TX 75235",(214) 633-5555,http://pmc.nextcare.com/locations/nw-dallas
The Meadows Health and Rehabilitation Center,8383 Meadow Rd,"Dallas, TX 75231",(214) 239-6000,http://www.bmcuptown.com
Baylor Institute Of Reha,3500 Gaston Ave,"Dallas, TX 75246",(214) 820-9300,http://www.utswmedicine.org/hospitals-clinics/clements
Baylor Scott & White North Texas Colon and Rectal Associates - Dallas,3409 Worth St Ste 600 Sammon Dallas TX 75246,"Dallas, TX 75246",(469) 800-7600,http://www.savaseniorcare.com
"Dallas Surgical Arts: Randy R. Sanovich, DDS",12740 Hillcrest Rd Ste 100,"Dallas, TX 75230",(972) 776-4888,/dallas-tx/mip/the-meadows-health-and-rehabilitation-center-5942378#open-menu
The Medical Center Of Mesquite,1011 Galloway Ave,"Dallas, TX 75216",(214) 320-7777,http://www.baylorhealth.com/PhysiciansLocations/BIR/Pages/Default.aspx
Cornerstone Healthcare Group,2200 Ross Ave,"Dallas, TX 75201",(469) 621-6700,https://www.bswhealth.com/locations/north-texas-colon-and-rectal-associates?y_source=1_MTQ2NjI4MjUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Heart and Vascular Hospital - Dallas,621 N Hall St,"Dallas, TX 75226",(214) 820-0600,https://www.dallassurgicalarts.com
"Roberts, William C, MD",621 N Hall St Ste H030,"Dallas, TX 75226",(214) 820-0600,/dallas-tx/mip/dallas-surgical-arts-randy-r-sanovich-dds-548792595#coupons
Baylor Scott & White Cardiology Consultants of Texas - Dallas,621 N Hall St Ste 500,"Dallas, TX 75226",(469) 800-7400,http://www.chghospitals.com
Baylor Scott & White Cardiac Surgery - Dallas,621 N Hall St Ste 120,"Dallas, TX 75226",(469) 800-7760,https://www.bswhealth.com/heart-and-vascular-hospital/dallas?y_source=1_MTM0MTE2ODctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Nutrition - Dallas,3500 Gaston Ave,"Dallas, TX 75246",(214) 820-7797,https://www.bswhealth.com/locations/cardiology-consultants-of-texas?y_source=1_MTQ2NjI5OTMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Physical Medicine and Rehabilitation Physicians - Dallas Gaston Ave.,3500 Gaston Ave,"Dallas, TX 75246",(214) 820-9593,https://www.bswhealth.com/locations/cardiac-surgery-dallas?y_source=1_MTQ2NjMwNDEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Endocrine Center - Dallas,3600 Gaston Ave Ste 656,"Dallas, TX 75246",(214) 820-3466,https://www.bswhealth.com/locations/endocrine-center-dallas?y_source=1_MTQ2NjMxMjItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White ENT Consultants of North Texas - Dallas,3600 Gaston Ave Ste 502,"Dallas, TX 75246",(469) 800-7700,https://www.bswhealth.com/locations/ent-consultants-of-north-texas-dallas?y_source=1_MTQ2NjI2NjAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Comprehensive Wound Care Center at Dallas,3600 Gaston Ave Ste 210,"Dallas, TX 75246",(214) 820-4400,https://www.baylorhealth.com/PhysiciansLocations/Dallas/SpecialtiesServices/WoundCareServices/Pages/Default.aspx?y_source=1_MTM0MTE1NTEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Charles A. Sammons Cancer Center - Dallas,3410 Worth St,"Dallas, TX 75246",(214) 820-0111,https://www.bswhealth.com/locations/sammons-cancer-center-dallas?y_source=1_MTQ2NjI2NzItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Surgical Oncology Specialists - Dallas,3410 Worth St Ste 235,"Dallas, TX 75246",(214) 820-2302,https://www.bswhealth.com/locations/surgical-oncology-specialists?y_source=1_MTQ2NjI5NDktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Diagnostic Imaging Center at Sammons Cancer Center,3410 Worth St Ste 770,"Dallas, TX 75246",(214) 820-1700,https://www.touchstoneimaging.com/locations/charles-a-sammons-cancer-center-at-dallas/?y_source=1_MTQ2NjMwMzItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Thoracic Surgery - Dallas,3410 Worth St Ste 760,"Dallas, TX 75246",(469) 800-7370,https://www.bswhealth.com/locations/center-for-thoracic-surgery?y_source=1_MTQ2NjMyMTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Advanced Heart Failure Clinic - Dallas,3410 Worth St Ste 250,"Dallas, TX 75246",(214) 820-6856,https://www.bswhealth.com/locations/advanced-heart-failure-clinic?y_source=1_MTQ2NjMxNTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Transplant Services - Dallas,3410 Worth St Ste 950,"Dallas, TX 75246",(214) 820-2050,https://www.bswhealth.com/locations/transplant-services?y_source=1_MTQ2NjI4MjctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Advanced Lung Disease Specialists - Dallas,3410 Worth St Ste 250,"Dallas, TX 75246",(214) 820-6856,https://www.bswhealth.com/locations/advanced-lung-disease-specialists-dallas?y_source=1_MTM0MTE2ODMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Esophageal Diseases - Sammons Cancer Center (Prearranged Appointment,3410 Worth St Ste 235,"Dallas, TX 75246",(469) 800-7050,https://www.bswhealth.com/locations/center-for-esophageal-diseases?y_source=1_MTQ2NjMwNzAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Liver Consultants of Texas - Dallas,3410 Worth St Ste 860,"Dallas, TX 75246",(214) 820-8500,https://www.bswhealth.com/locations/liver-consultants-of-texas?y_source=1_MTQ2NjI5MjYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
North Texas Preferred Health Partners – Dallas,3417 Gaston Ave Ste 700,"Dallas, TX 75246",(214) 823-4800,http://www.ntphp.com
Baylor Scott & White Signature Medicine - BUMC,3417 Gaston Ave Ste 600,"Dallas, TX 75246",(469) 800-9900,http://www.manta.com/c/mbs3726/baylor-university-medical-center
Baylor Scott & White MedProvider,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-9000,https://www.bswhealth.com/locations/medprovider-dallas?y_source=1_MTQ2NjI3ODYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White The Voice Center,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-7730,https://www.bswhealth.com/locations/the-voice-center?y_source=1_MTQ2NjI4MzgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Esophageal Diseases,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-7050,https://www.bswhealth.com/locations/center-for-esophageal-diseases?y_source=1_MTQ2NjMwNTEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Nutrition and Weight Management Center - Dallas,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-9097,https://www.bswhealth.com/locations/nutrition-and-weight-management-center-dallas?y_source=1_MTQ2NjI5NzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Endocrinology Specialists North Texas,3417 Gaston Ave Ste 980,"Dallas, TX 75246",(469) 800-8020,https://www.bswhealth.com/locations/endocrinology-specialists-north-texas?y_source=1_MTQ2NjI5NDItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Surgical Institute - Dallas,3417 Gaston Ave Ste 910,"Dallas, TX 75246",(469) 800-7560,https://www.bswhealth.com/locations/surgical-institute?y_source=1_MTQ2NjMxNTQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Neurosurgery Associates - Dallas,3417 Gaston Ave Ste 920,"Dallas, TX 75246",(469) 800-9260,https://www.bswhealth.com/locations/neurosurgery-associates?y_source=1_MTQ2NjI4MzEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Neurology - Dallas,3417 Gaston Ave Ste 935,"Dallas, TX 75246",(469) 800-7680,https://www.bswhealth.com/locations/neurology-dallas?y_source=1_MTQ2NjMxNzktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Inflammatory Bowel Diseases,3409 Worth St Ste 600,"Dallas, TX 75246",(469) 800-7180,https://www.bswhealth.com/locations/center-for-inflammatory-bowel-diseases?y_source=1_MTQ2NjMwMTEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Hand and Upper Extremity Specialists,3409 Worth St Ste 300,"Dallas, TX 75246",(972) 817-7470,https://www.bswhealth.com/locations/hand-and-upper-extremity-specialists?y_source=1_MTY3OTE5MTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor University Medical Center,909 N Washington Ave,"Dallas, TX 75246",(972) 263-3187,http://www.baylor.edu
Baylor Scott & White Physical Medicine and Rehabilitation Physicians - Dallas 909 N. Washington,909 N Washington Ave,"Dallas, TX 75246",(214) 820-1501,https://www.bswhealth.com/locations/physical-medicine-and-rehabilitation-physicians?y_source=1_MTQ2NjMwMTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Spine & Scoliosis Center - Baylor University Medical Center,3900 Junius St Ste 705,"Dallas, TX 75246",(972) 817-7450,https://www.bswhealth.com/locations/spine-and-scoliosis-center-dallas?y_source=1_MTYzNjM2OTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Hip Preservation Center,3900 Junius St Ste 705,"Dallas, TX 75246",(214) 820-9520,http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnKvDA8thU6kjqufsjfq3sn0q1TARa7guYqfiuUQWaQTj7ywrBuSS_cTlsYbCXFIbFeSOekeMdgRhdd-nVmHsWIQ_n2Mqr8gBBwwV6AJN2Nb9CxBob2pVR21kXv-IP6hw0xcl7C1tZ-1mho9dLJGurdZOI3WPoq4JsqPaR4FyafGviLFxz84boyHM1jNfF7-SzJ-lrR61AT9I6blDBOH0i3mda930G_Wo39EFUUOaW71ukfIAs-vbGleNap0hR7FTZG--o1Hjh0IjgdkAZBNmAdq1CF7eqZVBKwaxgtM0vgYZQH426brYD-p586bJmHtTH
Baylor Scott & White Physical Medicine and Rehabilitation Physicians - Dallas 3900 Junius,3900 Junius St Ste 705,"Dallas, TX 75246",(469) 800-7120,https://www.bswhealth.com/locations/physical-medicine-and-rehabilitation-physicians?y_source=1_MTQ2NjMxNDgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White The Shoulder Center at Baylor University Medical Center,3900 Junius St Ste 740,"Dallas, TX 75246",(972) 817-7420,https://www.bswhealth.com/locations/the-shoulder-center-dallas?y_source=1_MTQ2NjMwMjctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
